CommType,ID,ReceiveTime,SourceID,MsgId,PosTime,Lon,Lat,Cog,Sog,TrueHeading,NavigationStatus,ROT,PosAccuracy,A,B,C,D,E,F,G,H
1,440413160,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,75778230,22208250,65.0,1.0,335.0,0.0,,1,0,0,0.0,,,,,
1,209380000,2022-01-15 00:00:03,2,1,2022-01-15 00:00:02,2595446,31136328,866.0,116.0,87.0,0.0,0.0,0,2,0,0.0,,,,,
1,211517160,2022-01-15 00:00:03,2,1,2022-01-15 00:00:01,3326625,31141845,0.0,0.0,,0.0,,1,1,0,1.0,,,,,
1,413854646,2022-01-15 00:00:03,7,18,2022-01-15 00:00:00,71549504,19341010,2541.0,39.0,,,,1,60,1,0.0,0.0,0.0,0.0,393222.0,
1,413832717,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,70804368,18699718,359.0,59.0,,,,1,60,1,0.0,0.0,0.0,0.0,393222.0,
1,412478810,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,66441448,12409958,,2.0,,1.0,,1,0,0,1.0,,,,,
1,413956545,2022-01-15 00:00:03,7,18,2022-01-14 23:59:49,72645216,18379072,0.0,1.0,,,,0,49,1,0.0,0.0,1.0,0.0,393216.0,
1,413996765,2022-01-15 00:00:03,7,18,2022-01-15 00:00:00,67808264,13684928,755.0,78.0,75.0,,,0,0,1,1.0,1.0,1.0,0.0,393222.0,
1,413961848,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,72930730,18758846,483.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,,
1,413975199,2022-01-15 00:00:03,7,18,2022-01-15 00:00:00,72014529,20133806,2601.0,3.0,260.0,,,0,0,0,0.0,0.0,0.0,0.0,6003.0,
1,413844268,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,72938072,18772270,1654.0,53.0,12.0,5.0,,0,1,0,0.0,,,,,
1,413794669,2022-01-15 00:00:03,7,18,2022-01-15 00:00:00,71000915,18869964,3573.0,66.0,,,,1,0,1,1.0,0.0,1.0,0.0,393222.0,
1,413970432,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,72047704,19026384,1263.0,41.0,126.0,,,0,60,0,0.0,0.0,0.0,0.0,6003.0,
1,413327290,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,72490000,22979562,,3.0,329.0,0.0,-127.0,1,1,0,1.0,,,,,
1,249431000,2022-01-15 00:00:03,7,1,2022-01-14 23:59:54,75932780,22275671,3000.0,122.0,300.0,0.0,5.0,1,54,0,0.0,,,,,
1,413798778,2022-01-15 00:00:03,7,19,2022-01-15 00:00:01,71210810,19221290,256.0,90.0,,,,0,60,0,0.0,1.0,,,,
1,412633000,2022-01-15 00:00:03,9,1,2022-01-15 00:00:03,68277809,13395376,3491.0,156.0,349.0,0.0,0.0,0,3,0,0.0,,,,,
1,412502580,2022-01-15 00:00:03,9,1,2022-01-15 00:00:02,68506968,13284058,2751.0,88.0,266.0,0.0,0.0,1,2,0,1.0,,,,,
1,413461080,2022-01-15 00:00:03,9,19,2022-01-15 00:00:01,70094903,13952400,1731.0,42.0,,,,1,1,1,0.0,0.0,,,,
1,413847057,2022-01-15 00:00:03,9,19,2022-01-15 00:00:01,67728894,14064666,1897.0,54.0,190.0,,,0,1,0,0.0,0.0,,,,
